element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Type	
K	19	"2.5650678"	"1.60e+12"	"1.58e-03"	AA		
K	19	"2.5844957"	"2.55e+12"	"2.55e-03"	AA		
K	19	"2.6171799"	"4.47e+12"	"9.18e-03"	AA		
K	19	"2.6173915"	"4.45e+12"	"4.57e-03"	AA		
K	19	"2.6798048"	"8.88e+12"	"1.91e-02"	AA		
K	19	"2.6802382"	"8.83e+12"	"9.51e-03"	AA		
K	19	"2.8258878"	"2.18e+13"	"5.22e-02"	AA		
K	19	"2.8270309"	"2.17e+13"	"2.60e-02"	AA		
K	18	"3.0087"	"3.72e+13"	"1.51e-01"			
K	18	"3.0123"	"9.10e+11"	"3.71e-03"			
K	17	"3.0608"	"3.12e+13"	"6.57e-02"			
K	17	"3.0608"	"1.05e+13"	"2.95e-02"			
K	17	"3.0608"	"1.25e+13"	"3.51e-02"			
K	19	"3.3466905"	"8.13e+13"	"2.73e-01"	AA		
K	19	"3.3521068"	"8.19e+13"	"1.38e-01"	AA		
K	18	"3.5318010"	"1.33e+14"	"7.46e-01"			
K	18	"3.5459107"	"4.91e+08"	"4.63e-06"			
K	18	"3.5485069"	"5.91e+08"	""		2P	
K	18	"3.5494839"	"2.98e+12"	"1.69e-02"			
K	18	"3.5706763"	"8.34e+06"	""		M1	
Na	11	"7.6766023"	"1.81e+11"	"3.20e-03"			
Na	11	"7.6766763"	"1.81e+11"	"1.60e-03"			
Na	11	"7.7347340"	"2.88e+11"	"5.17e-03"			
Na	11	"7.7348532"	"2.88e+11"	"2.58e-03"			
Na	11	"7.8331130"	"5.03e+11"	"9.25e-03"			
Na	11	"7.8333242"	"5.02e+11"	"4.62e-03"			
Na	11	"8.0209276"	"9.98e+11"	"1.93e-02"			
Na	11	"8.0213603"	"9.97e+11"	"9.62e-03"			
Na	11	"8.4591212"	"2.45e+12"	"5.26e-02"			
Na	11	"8.4602623"	"2.45e+12"	"2.63e-02"			
Na	10	"8.541659"	"9.67e+10"	"3.17e-03"	A+		
Na	10	"8.560462"	"1.33e+11"	"4.38e-03"	A		
Na	10	"8.586885"	"1.89e+11"	"6.28e-03"	A		
Na	10	"8.625710"	"2.83e+11"	"9.47e-03"	A		
Na	10	"8.686207"	"4.50e+11"	"1.53e-02"	A+		
Na	10	"8.788392"	"7.81e+11"	"2.71e-02"	A+		
Na	10	"8.982795"	"1.54e+12"	"5.60e-02"	A+		
Na	10	"9.433001"	"3.74e+12"	"1.49e-01"	A+		
Na	11	"10.023188"	"9.16e+12"	"2.76e-01"			
Na	11	"10.028597"	"9.18e+12"	"1.38e-01"			
K	19	"10.924930"	"2.01e+10"	"3.60e-04"	AA		
K	19	"10.926811"	"2.36e+11"	"4.22e-03"	AA		
K	19	"10.982859"	"4.18e+10"	"3.78e-04"	AA		
Na	10	"11.0026312"	"1.35e+13"	"7.33e-01"	A+		
Na	10	"11.0829008"	"1.40e+10"	"7.73e-04"			
K	19	"11.286245"	"3.23e+10"	"6.17e-04"	AA		
K	19	"11.288282"	"3.76e+11"	"7.18e-03"	AA		
K	19	"11.348081"	"6.70e+10"	"6.47e-04"	AA		
K	19	"11.937341"	"1.04e+12"	"4.44e-02"	AA		
K	19	"11.939526"	"6.46e+11"	"2.76e-02"	AA		
K	19	"11.941589"	"5.66e+10"	"1.21e-03"	AA		
K	19	"11.943930"	"6.51e+11"	"1.39e-02"	AA		
K	19	"12.005066"	"1.23e+12"	"3.99e-02"	AA		
K	19	"12.006538"	"2.04e+11"	"4.41e-03"	AA		
K	19	"12.010836"	"1.17e+11"	"1.27e-03"	AA		
K	19	"13.361562"	"2.27e+12"	"1.22e-01"	AA		
K	19	"13.36429"	"1.26e+12"	"6.75e-02"	AA		
K	19	"13.371968"	"1.13e+11"	"3.03e-03"	AA		
K	19	"13.37508"	"1.27e+12"	"3.41e-02"	AA		
K	19	"13.444709"	"2.69e+12"	"1.09e-01"	AA		
K	19	"13.448317"	"4.47e+11"	"1.21e-02"	AA		
K	19	"13.458858"	"2.35e+11"	"3.19e-03"	AA		
K	17	"14.715"	"7.01e+11"	"4.55e-02"			
K	17	"14.776"	"8.35e+11"	"4.10e-02"			
K	17	"14.786"	"1.4e+11"	"4.5e-03"			
K	17	"15.755"	"8.24e+11"	"6.13e-02"			
K	17	"15.755"	"8.33e+11"	"3.10e-02"			
K	17	"16.427"	"1.52e+12"	"1.23e-01"			
K	17	"16.497"	"1.81e+12"	"1.11e-01"			
K	19	"18.00148"	"7.08e+12"	"6.88e-01"	AA		
K	19	"18.00638"	"2.91e+12"	"2.83e-01"	AA		
K	19	"18.04635"	"2.78e+11"	"1.36e-02"	AA		
K	19	"18.05290"	"2.97e+12"	"1.45e-01"	AA		
K	19	"18.143727"	"8.42e+12"	"6.23e-01"	AA		
K	19	"18.15930"	"1.40e+12"	"6.92e-02"	AA		
K	19	"18.204968"	"5.78e+11"	"1.44e-02"	AA		
K	17	"20.899"	"1.84e+12"	"2.41e-01"			
K	17	"20.931"	"1.87e+12"	"1.23e-01"			
K	16	"21.737"	"1.4e+12"	"1.4e-01"			
K	16	"21.911"	"2.1e+12"	"4.5e-01"			
K	17	"22.020"	"4.53e+12"	"6.59e-01"			
K	17	"22.163"	"5.41e+12"	"5.98e-01"			
K	17	"22.573"	"2.43e+11"	"1.86e-02"			
K	17	"22.740"	"4.99e+11"	"1.93e-02"			
K	16	"22.813"	"3.0e+12"	"3.9e-01"			
K	16	"22.921"	"7.6e+12"	"8.4e-01"			
K	16	"23.268"	"5.2e+12"	"7.0e-01"			
K	16	"23.315"	"6.8e+12"	"7.8e-01"			
K	16	"23.399"	"9.5e+12"	"1.1e+00"			
K	16	"23.842"	"4.3e+12"	"6.1e-01"			
K	15	"24.200"	"3.51e+12"	"6.16e-01"			
K	15	"24.328"	"4.19e+12"	"5.58e-01"			
K	14	"25.700"	"3.60e+12"	"3.56e-01"			
K	14	"25.750"	"5.68e+12"	"7.90e-01"			
K	14	"25.821"	"1.80e+10"	"1.80e-03"			
K	14	"25.909"	"7.61e+12"	"1.07e+00"			
K	14	"26.018"	"3.60e+11"	"5.11e-02"			
K	14	"26.281"	"3.67e+11"	"3.80e-02"			
K	14	"26.465"	"4.43e+12"	"1.40e+00"			
K	14	"26.591"	"3.09e+11"	"3.28e-02"			
K	19	"27.681186"	"1.37e+10"	"1.57e-03"	AA		
K	19	"27.68508"	"7.92e+10"	"9.10e-03"	AA		
K	19	"27.791269"	"2.83e+10"	"1.64e-03"	AA		
K	19	"27.7913634"	"6.40e+09"	"3.71e-04"	AA		
K	12	"29.168"	"1.18e+12"	"2.11e-01"			
K	12	"29.342"	"2.00e+12"	"2.58e-01"			
K	12	"29.367"	"1.31e+10"	"1.69e-03"			
K	12	"29.379"	"2.17e+12"	"8.45e-01"			
K	12	"29.526"	"8.24e+11"	"3.23e-01"			
K	12	"29.531"	"1.90e+11"	"4.14e-02"			
K	12	"29.559"	"3.07e+12"	"2.41e-01"			
K	12	"29.667"	"3.85e+12"	"5.08e-01"			
K	12	"29.734"	"5.50e+12"	"1.02e+00"			
K	12	"29.735"	"3.25e+12"	"6.03e-01"			
K	12	"29.921"	"2.32e+12"	"5.19e-01"			
K	12	"29.986"	"3.49e+11"	"1.41e-01"			
K	19	"30.124768"	"2.22e+10"	"3.02e-03"	AA		
K	19	"30.12958"	"1.26e+11"	"1.71e-02"	AA		
K	12	"30.150"	"2.01e+12"	"3.84e-01"			
K	12	"30.200"	"5.23e+12"	"2.15e+00"			
K	19	"30.255190"	"4.59e+10"	"3.15e-03"	AA		
K	19	"30.255503"	"1.08e+10"	"7.41e-04"	AA		
K	12	"30.351"	"1.23e+12"	"1.70e-01"			
K	12	"30.571"	"1.40e+12"	"2.75e-01"			
K	12	"30.800"	"8.62e+11"	"2.04e-01"			
K	10	"30.887"	"6.34e+11"	"2.72e-01"			
K	10	"31.062"	"1.60e+10"	"6.94e-03"			
K	11	"31.455"	"4.96e+10"	"7.36e-03"			
K	11	"31.483"	"4.72e+11"	"1.05e-01"			
K	11	"31.690"	"1.17e+12"	"3.52e-01"			
K	11	"32.099"	"3.48e+11"	"5.38e-02"			
K	11	"32.178"	"3.10e+12"	"7.22e-01"			
K	11	"32.278"	"8.76e+10"	"2.05e-02"			
K	11	"32.317"	"2.30e+12"	"1.80e-01"			
K	11	"32.343"	"2.80e+12"	"8.78e-01"			
K	11	"32.421"	"4.30e+11"	"1.36e-01"			
K	11	"32.565"	"7.47e+11"	"1.19e-01"			
Na	11	"32.732032"	"3.84e+10"	"1.23e-02"			
Na	11	"32.733316"	"2.25e+09"	"3.61e-04"			
Na	11	"32.734483"	"2.63e+10"	"8.45e-03"			
Na	11	"32.735827"	"2.64e+10"	"4.24e-03"			
Na	11	"32.7893352"	"4.59e+10"	"1.11e-02"			
Na	11	"32.7897837"	"7.63e+09"	"1.23e-03"			
Na	11	"32.7910718"	"4.55e+09"	"3.67e-04"			
K	11	"32.808"	"1.35e+12"	"3.27e-01"			
K	11	"32.955"	"5.11e+11"	"8.32e-02"			
K	11	"32.957"	"1.39e+11"	"3.39e-02"			
K	11	"33.012"	"9.90e+10"	"2.43e-02"			
K	11	"33.027"	"1.49e+11"	"1.22e-02"			
K	11	"32.816"	"2.04e+10"	"3.35e-03"			
K	11	"33.107"	"1.08e+11"	"2.66e-02"			
K	11	"33.135"	"8.99e+10"	"7.40e-03"			
K	11	"33.213"	"3.45e+11"	"1.14e-01"			
K	12	"33.237"	"2.55e+11"	"5.91e-02"			
K	12	"33.276"	"1.35e+11"	"2.24e-02"			
K	11	"33.286"	"8.24e+10"	"1.37e-02"			
K	11	"33.347"	"2.06e+09"	"6.87e-04"			
K	12	"33.487"	"1.23e+11"	"3.45e-02"			
K	12	"33.547"	"9.29e+10"	"4.70e-02"			
Na	11	"33.815684"	"6.31e+10"	"2.16e-02"			
Na	11	"33.817860"	"3.60e+09"	"6.17e-04"			
Na	11	"33.818298"	"4.19e+10"	"1.44e-02"			
Na	11	"33.820577"	"4.20e+10"	"7.20e-03"			
Na	11	"33.8765662"	"7.54e+10"	"1.95e-02"			
Na	11	"33.8773265"	"1.25e+10"	"2.15e-03"			
Na	11	"33.8795103"	"7.29e+09"	"6.27e-04"			
K	12	"33.956"	"6.21e+11"	"1.07e-01"			
K	12	"34.125"	"5.35e+11"	"5.60e-02"			
K	12	"34.198"	"3.16e+11"	"1.66e-01"			
