element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	Type	
Si	3	"566.613"	"1.21e+08"	"1.74e-02"	D+	"0.00"	"176487.19"		
Si	2	"843.719"	"7.05e+07"	"1.50e-02"	D	"0.00"	"118522.86"		
Mg	2	"870.3317"	"1.04e+06"	"2.35e-04"	C	"0.00"	"114898.72"		
Mg	2	"870.3463"	"1.08e+06"	"1.22e-04"	C	"0.00"	"114896.79"		
Mg	2	"884.6967"	"1.38e+06"	"3.24e-04"	C	"0.00"	"113033.09"		
Mg	2	"884.7189"	"1.44e+06"	"1.68e-04"	C	"0.00"	"113030.25"		
Si	2	"889.723"	"1.43e+08"	"3.40e-02"	D+	"0.00"	"112394.56"		
Si	2	"899.406"	"4.63e+07"	"5.62e-03"	D	"0.00"	"111184.46"		
Mg	2	"907.3752"	"1.94e+06"	"4.78e-04"	C	"0.00"	"110207.99"		
Mg	2	"907.4115"	"2.02e+06"	"2.49e-04"	C	"0.00"	"110203.58"		
Mg	2	"946.7033"	"2.69e+06"	"7.22e-04"	B	"0.00"	"105629.72"		
Mg	2	"946.7694"	"2.81e+06"	"3.78e-04"	B	"0.00"	"105622.34"		
Si	2	"989.873"	"6.81e+08"	"2.00e-01"	C+	"0.00"	"101023.05"		
Si	2	"1020.699"	"8.91e+07"	"1.39e-02"	D	"0.00"	"97972.09"		
Mg	2	"1025.9681"	"3.43e+06"	"1.08e-03"	B	"0.00"	"97468.92"		
Mg	2	"1026.1134"	"3.63e+06"	"5.72e-04"	B	"0.00"	"97455.12"		
Si	2	"1190.416"	"6.53e+08"	"2.77e-01"	C+	"0.00"	"84004.26"		
Si	2	"1193.290"	"2.69e+09"	"5.75e-01"	B	"0.00"	"83801.95"		
Si	3	"1206.500"	"2.55e+09"	"1.67e+00"	A	"0.00"	"82884.41"		
Mg	2	"1239.9253"	"1.35e+06"	"6.21e-04"	C	"0.00"	"80650.02"		
Mg	2	"1240.3947"	"1.52e+06"	"3.51e-04"	C	"0.00"	"80619.50"		
Si	2	"1260.422"	"2.57e+09"	"1.22e+00"	B	"0.00"	"79338.50"		
Si	2	"1304.370"	"3.64e+08"	"9.28e-02"	C+	"0.00"	"76665.35"		
Si	4	"1393.755"	"8.80e+08"	"5.13e-01"	A+	"0.00"	"71748.64"		
Si	4	"1402.770"	"8.63e+08"	"2.55e-01"	A+	"0.00"	"71287.54"		
Si	2	"1526.707"	"3.81e+08"	"1.33e-01"	C+	"0.00"	"65500.47"		
Si	1	"1589.173"	"4.44e+07"	"5.04e-02"	E	"0.000"	"62925.80"		
Si	1	"1625.705"	"7.16e+07"	"8.51e-02"	E	"0.000"	"61511.77"		
Si	1	"1666.376"	"1.75e+07"	"2.19e-02"	D	"0.000"	"60010.458"		
Mg	1	"1683.4116"	"1.88e+06"	"2.40e-03"	D+	"0.000"	"59403.18"		
Si	1	"1693.293"	"6.75e+07"	"8.71e-02"	D+	"0.000"	"59056.508"		
Si	1	"1700.64"	"3.06e+07"	"3.98e-02"	D+	"0.000"	"58801.529"		
Mg	1	"1707.0606"	"3.28e+06"	"4.30e-03"	D+	"0.000"	"58580.23"		
Mg	1	"1747.7937"	"6.62e+06"	"9.10e-03"	C+	"0.000"	"57214.992"		
Si	2	"1808.013"	"2.54e+06"	"2.49e-03"	C	"0.00"	"55309.35"		
Mg	1	"1827.9351"	"1.60e+07"	"2.40e-02"	B	"0.000"	"54706.536"		
Si	1	"1841.152"	"1.50e+07"	"2.29e-02"	D	"0.000"	"54313.818"		
Si	1	"1845.520"	"1.68e+08"	"2.58e-01"	C+	"0.000"	"54185.264"		
Si	1	"1977.598"	"2.79e+07"	"4.91e-02"	B	"0.000"	"50566.397"		
Mg	1	"2026.4768"	"6.12e+07"	"1.13e-01"	B+	"0.000"	"49346.729"		
Si	1	"2208.667"	"2.62e+07"	"5.75e-02"	B	"0.000"	"45276.188"		
Si	2	"2329.231"	"2.35e+01"	"3.83e-08"	E	"0.00"	"42932.62"		
Si	2	"2335.123"	"5.51e+03"	"4.50e-06"	D+	"0.00"	"42824.29"		
Na	1	"2434.50328"	"3.87e+03"	"6.88e-06"	C+'	"0.00000"	"[41076.141]"		
Na	1	"2434.50535"	"3.87e+03"	"3.44e-06"	C+'	"0.00000"	"[41076.106]"		
Na	1	"2437.33241"	"4.64e+03"	"8.26e-06"	C+'	"0.00000"	"[41028.462]"		
Na	1	"2437.33496"	"4.64e+03"	"4.13e-06"	C+'	"0.00000"	"[41028.419]"		
Si	1	"2439.507"	"7.91e+05"	"2.12e-03"	D	"0.000"	"40991.884"		
Na	1	"2440.74911"	"5.6e+03"	"1.0e-05"	C+'	"0.00000"	"[40971.028]"		
Na	1	"2440.75220"	"5.6e+03"	"5.0e-06"	C+'	"0.00000"	"[40970.976]"		
Na	1	"2444.92889"	"6.8e+03"	"1.2e-05"	C+'	"0.00000"	"[40900.985]"		
Na	1	"2444.93266"	"6.8e+03"	"6.1e-06"	C+'	"0.00000"	"[40900.922]"		
